county,precinct,office,district,party,candidate,votes,absentee_mail,election_day
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,121,107,14
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,024 E BRADFORD S-2,STATE TREASURER, ,DEM,JOE TORSELLA,276,229,47
Chester,024 E BRADFORD S-2,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,024 E BRADFORD S-2,U.S. House,6,DEM,CHRISSY HOULAHAN,289,239,50
Chester,024 E BRADFORD S-2,U.S. House,6,DEM,Write-In Totals,3,1,2
Chester,024 E BRADFORD S-2,State House,158,DEM,CHRISTINA SAPPEY,283,233,50
Chester,024 E BRADFORD S-2,State House,158,DEM,Write-In Totals,0,0,0
Chester,024 E BRADFORD S-2,President, ,REP,DONALD J TRUMP,218,85,133
Chester,024 E BRADFORD S-2,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,5,2
Chester,024 E BRADFORD S-2,President, ,REP,BILL WELD,30,20,10
Chester,024 E BRADFORD S-2,President, ,REP,Write-In Totals,22,17,5
Chester,024 E BRADFORD S-2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,274,122,152
Chester,024 E BRADFORD S-2,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,269,119,150
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,REP,Write-In Totals,2,2,0
Chester,024 E BRADFORD S-2,STATE TREASURER, ,REP,STACY L GARRITY,274,121,153
Chester,024 E BRADFORD S-2,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,024 E BRADFORD S-2,U.S. House,6,REP,JOHN EMMONS,277,123,154
Chester,024 E BRADFORD S-2,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,024 E BRADFORD S-2,State House,158,REP,ERIC ROE,270,119,151
Chester,024 E BRADFORD S-2,State House,158,REP,Write-In Totals,2,2,0
Chester,025 W BRADFORD 1,Registered Voters, ,,Registered Voters - Total,"1,453",,
Chester,025 W BRADFORD 1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,574,,
Chester,025 W BRADFORD 1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,612,,
Chester,025 W BRADFORD 1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,267,,
Chester,025 W BRADFORD 1,Ballots Cast, , , ,556,304,252
Chester,025 W BRADFORD 1,Ballots Cast, ,DEM, ,321,229,92
Chester,025 W BRADFORD 1,Ballots Cast, ,REP, ,235,75,160
Chester,025 W BRADFORD 1,Ballots Cast, ,NPA, ,0,0,0
Chester,025 W BRADFORD 1,President, ,DEM,BERNIE SANDERS,64,43,21
Chester,025 W BRADFORD 1,President, ,DEM,JOSEPH R BIDEN,245,176,69
Chester,025 W BRADFORD 1,President, ,DEM,TULSI GABBARD,5,4,1
Chester,025 W BRADFORD 1,President, ,DEM,Write-In Totals,2,2,0
Chester,025 W BRADFORD 1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,295,211,84
Chester,025 W BRADFORD 1,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,9,2,7
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,23,18,5
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,27,14,13
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,14,12,2
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,NINA AHMAD,107,76,31
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,116,91,25
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,025 W BRADFORD 1,STATE TREASURER, ,DEM,JOE TORSELLA,293,210,83
Chester,025 W BRADFORD 1,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,025 W BRADFORD 1,U.S. House,6,DEM,CHRISSY HOULAHAN,309,222,87
Chester,025 W BRADFORD 1,U.S. House,6,DEM,Write-In Totals,1,0,1
Chester,025 W BRADFORD 1,State House,158,DEM,CHRISTINA SAPPEY,311,225,86
Chester,025 W BRADFORD 1,State House,158,DEM,Write-In Totals,1,0,1
Chester,025 W BRADFORD 1,President, ,REP,DONALD J TRUMP,193,50,143
Chester,025 W BRADFORD 1,President, ,REP,ROQUE ROCKY DE LA FUENTE,4,0,4
Chester,025 W BRADFORD 1,President, ,REP,BILL WELD,18,11,7
Chester,025 W BRADFORD 1,President, ,REP,Write-In Totals,7,4,3
Chester,025 W BRADFORD 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,203,58,145
Chester,025 W BRADFORD 1,ATTORNEY GENERAL, ,REP,Write-In Totals,4,3,1
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,208,60,148
Chester,025 W BRADFORD 1,AUDITOR GENERAL, ,REP,Write-In Totals,2,2,0
Chester,025 W BRADFORD 1,STATE TREASURER, ,REP,STACY L GARRITY,209,62,147
Chester,025 W BRADFORD 1,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,025 W BRADFORD 1,U.S. House,6,REP,JOHN EMMONS,215,61,154
Chester,025 W BRADFORD 1,U.S. House,6,REP,Write-In Totals,2,2,0
Chester,025 W BRADFORD 1,State House,158,REP,ERIC ROE,215,59,156
Chester,025 W BRADFORD 1,State House,158,REP,Write-In Totals,8,8,0
Chester,030 W BRADFORD 2,Registered Voters, ,,Registered Voters - Total,"2,460",,
Chester,030 W BRADFORD 2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,919,,
Chester,030 W BRADFORD 2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,077",,
Chester,030 W BRADFORD 2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,464,,
Chester,030 W BRADFORD 2,Ballots Cast, , , ,842,574,268
Chester,030 W BRADFORD 2,Ballots Cast, ,DEM, ,508,410,98
Chester,030 W BRADFORD 2,Ballots Cast, ,REP, ,334,164,170
Chester,030 W BRADFORD 2,Ballots Cast, ,NPA, ,0,0,0
Chester,030 W BRADFORD 2,President, ,DEM,BERNIE SANDERS,63,43,20
Chester,030 W BRADFORD 2,President, ,DEM,JOSEPH R BIDEN,428,359,69
Chester,030 W BRADFORD 2,President, ,DEM,TULSI GABBARD,6,2,4
Chester,030 W BRADFORD 2,President, ,DEM,Write-In Totals,6,4,2
Chester,030 W BRADFORD 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,465,379,86
Chester,030 W BRADFORD 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,15,11,4
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,26,21,5
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,43,40,3
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,16,14,2
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,174,140,34
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,192,152,40
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,030 W BRADFORD 2,STATE TREASURER, ,DEM,JOE TORSELLA,458,373,85
Chester,030 W BRADFORD 2,STATE TREASURER, ,DEM,Write-In Totals,2,1,1
Chester,030 W BRADFORD 2,U.S. House,6,DEM,CHRISSY HOULAHAN,486,395,91
Chester,030 W BRADFORD 2,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,030 W BRADFORD 2,State House,158,DEM,CHRISTINA SAPPEY,484,392,92
Chester,030 W BRADFORD 2,State House,158,DEM,Write-In Totals,1,1,0
Chester,030 W BRADFORD 2,President, ,REP,DONALD J TRUMP,266,115,151
Chester,030 W BRADFORD 2,President, ,REP,ROQUE ROCKY DE LA FUENTE,11,6,5
Chester,030 W BRADFORD 2,President, ,REP,BILL WELD,33,24,9
Chester,030 W BRADFORD 2,President, ,REP,Write-In Totals,12,10,2
Chester,030 W BRADFORD 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,300,145,155
Chester,030 W BRADFORD 2,ATTORNEY GENERAL, ,REP,Write-In Totals,2,1,1
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,295,141,154
Chester,030 W BRADFORD 2,AUDITOR GENERAL, ,REP,Write-In Totals,4,3,1
Chester,030 W BRADFORD 2,STATE TREASURER, ,REP,STACY L GARRITY,298,141,157
Chester,030 W BRADFORD 2,STATE TREASURER, ,REP,Write-In Totals,4,3,1
Chester,030 W BRADFORD 2,U.S. House,6,REP,JOHN EMMONS,308,150,158
Chester,030 W BRADFORD 2,U.S. House,6,REP,Write-In Totals,5,3,2
Chester,030 W BRADFORD 2,State House,158,REP,ERIC ROE,322,159,163
Chester,030 W BRADFORD 2,State House,158,REP,Write-In Totals,2,1,1
Chester,031 W BRADFORD 3,Registered Voters, ,,Registered Voters - Total,"1,774",,
Chester,031 W BRADFORD 3,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,791,,
Chester,031 W BRADFORD 3,Registered Voters, ,REP,Registered Voters - REPUBLICAN,691,,
Chester,031 W BRADFORD 3,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,292,,
Chester,031 W BRADFORD 3,Ballots Cast, , , ,662,420,242
Chester,031 W BRADFORD 3,Ballots Cast, ,DEM, ,419,326,93
Chester,031 W BRADFORD 3,Ballots Cast, ,REP, ,243,94,149
Chester,031 W BRADFORD 3,Ballots Cast, ,NPA, ,0,0,0
Chester,031 W BRADFORD 3,President, ,DEM,BERNIE SANDERS,69,54,15
Chester,031 W BRADFORD 3,President, ,DEM,JOSEPH R BIDEN,336,265,71
Chester,031 W BRADFORD 3,President, ,DEM,TULSI GABBARD,6,2,4
Chester,031 W BRADFORD 3,President, ,DEM,Write-In Totals,5,4,1
Chester,031 W BRADFORD 3,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,381,299,82
Chester,031 W BRADFORD 3,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,10,8,2
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,30,24,6
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,30,28,2
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,6,2,4
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,NINA AHMAD,160,122,38
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,149,118,31
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,031 W BRADFORD 3,STATE TREASURER, ,DEM,JOE TORSELLA,383,302,81
Chester,031 W BRADFORD 3,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,031 W BRADFORD 3,U.S. House,6,DEM,CHRISSY HOULAHAN,401,317,84
Chester,031 W BRADFORD 3,U.S. House,6,DEM,Write-In Totals,3,2,1
Chester,031 W BRADFORD 3,State House,158,DEM,CHRISTINA SAPPEY,407,319,88
Chester,031 W BRADFORD 3,State House,158,DEM,Write-In Totals,1,0,1
Chester,031 W BRADFORD 3,President, ,REP,DONALD J TRUMP,187,53,134
Chester,031 W BRADFORD 3,President, ,REP,ROQUE ROCKY DE LA FUENTE,3,0,3
Chester,031 W BRADFORD 3,President, ,REP,BILL WELD,27,25,2
Chester,031 W BRADFORD 3,President, ,REP,Write-In Totals,9,6,3
Chester,031 W BRADFORD 3,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,225,86,139
Chester,031 W BRADFORD 3,ATTORNEY GENERAL, ,REP,Write-In Totals,3,1,2
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,223,84,139
Chester,031 W BRADFORD 3,AUDITOR GENERAL, ,REP,Write-In Totals,3,1,2
Chester,031 W BRADFORD 3,STATE TREASURER, ,REP,STACY L GARRITY,226,85,141
Chester,031 W BRADFORD 3,STATE TREASURER, ,REP,Write-In Totals,2,1,1
Chester,031 W BRADFORD 3,U.S. House,6,REP,JOHN EMMONS,223,82,141
Chester,031 W BRADFORD 3,U.S. House,6,REP,Write-In Totals,2,1,1
Chester,031 W BRADFORD 3,State House,158,REP,ERIC ROE,231,90,141
Chester,031 W BRADFORD 3,State House,158,REP,Write-In Totals,2,1,1
Chester,032 W BRADFORD 4,Registered Voters, ,,Registered Voters - Total,"2,264",,
Chester,032 W BRADFORD 4,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,853,,
Chester,032 W BRADFORD 4,Registered Voters, ,REP,Registered Voters - REPUBLICAN,953,,
Chester,032 W BRADFORD 4,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,458,,
Chester,032 W BRADFORD 4,Ballots Cast, , , ,729,442,287
Chester,032 W BRADFORD 4,Ballots Cast, ,DEM, ,415,327,88
Chester,032 W BRADFORD 4,Ballots Cast, ,REP, ,314,115,199
Chester,032 W BRADFORD 4,Ballots Cast, ,NPA, ,0,0,0
Chester,032 W BRADFORD 4,President, ,DEM,BERNIE SANDERS,62,44,18
Chester,032 W BRADFORD 4,President, ,DEM,JOSEPH R BIDEN,342,273,69
Chester,032 W BRADFORD 4,President, ,DEM,TULSI GABBARD,7,6,1
Chester,032 W BRADFORD 4,President, ,DEM,Write-In Totals,4,4,0
Chester,032 W BRADFORD 4,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,376,304,72
Chester,032 W BRADFORD 4,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,10,8,2
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,16,12,4
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,34,29,5
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,11,9,2
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,NINA AHMAD,164,126,38
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,141,116,25
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,032 W BRADFORD 4,STATE TREASURER, ,DEM,JOE TORSELLA,372,298,74
Chester,032 W BRADFORD 4,STATE TREASURER, ,DEM,Write-In Totals,1,1,0
Chester,032 W BRADFORD 4,U.S. House,6,DEM,CHRISSY HOULAHAN,391,311,80
Chester,032 W BRADFORD 4,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,032 W BRADFORD 4,State House,158,DEM,CHRISTINA SAPPEY,388,311,77
Chester,032 W BRADFORD 4,State House,158,DEM,Write-In Totals,1,0,1
Chester,032 W BRADFORD 4,President, ,REP,DONALD J TRUMP,246,77,169
Chester,032 W BRADFORD 4,President, ,REP,ROQUE ROCKY DE LA FUENTE,15,10,5
Chester,032 W BRADFORD 4,President, ,REP,BILL WELD,26,13,13
Chester,032 W BRADFORD 4,President, ,REP,Write-In Totals,18,10,8
Chester,032 W BRADFORD 4,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,288,99,189
Chester,032 W BRADFORD 4,ATTORNEY GENERAL, ,REP,Write-In Totals,3,1,2
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,291,102,189
Chester,032 W BRADFORD 4,AUDITOR GENERAL, ,REP,Write-In Totals,2,1,1
Chester,032 W BRADFORD 4,STATE TREASURER, ,REP,STACY L GARRITY,291,101,190
Chester,032 W BRADFORD 4,STATE TREASURER, ,REP,Write-In Totals,2,1,1
Chester,032 W BRADFORD 4,U.S. House,6,REP,JOHN EMMONS,294,104,190
Chester,032 W BRADFORD 4,U.S. House,6,REP,Write-In Totals,2,1,1
Chester,032 W BRADFORD 4,State House,158,REP,ERIC ROE,302,111,191
Chester,032 W BRADFORD 4,State House,158,REP,Write-In Totals,1,0,1
Chester,033 W BRADFORD 5,Registered Voters, ,,Registered Voters - Total,"1,678",,
Chester,033 W BRADFORD 5,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,613,,
Chester,033 W BRADFORD 5,Registered Voters, ,REP,Registered Voters - REPUBLICAN,771,,
Chester,033 W BRADFORD 5,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,294,,
Chester,033 W BRADFORD 5,Ballots Cast, , , ,529,315,214
Chester,033 W BRADFORD 5,Ballots Cast, ,DEM, ,301,239,62
Chester,033 W BRADFORD 5,Ballots Cast, ,REP, ,228,76,152
Chester,033 W BRADFORD 5,Ballots Cast, ,NPA, ,0,0,0
Chester,033 W BRADFORD 5,President, ,DEM,BERNIE SANDERS,48,32,16
Chester,033 W BRADFORD 5,President, ,DEM,JOSEPH R BIDEN,237,200,37
Chester,033 W BRADFORD 5,President, ,DEM,TULSI GABBARD,8,4,4
Chester,033 W BRADFORD 5,President, ,DEM,Write-In Totals,5,2,3
Chester,033 W BRADFORD 5,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,273,223,50
Chester,033 W BRADFORD 5,ATTORNEY GENERAL, ,DEM,Write-In Totals,5,1,4
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,8,4,4
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,20,18,2
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,19,17,2
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,1,1,0
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,NINA AHMAD,101,76,25
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,114,96,18
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,DEM,Write-In Totals,3,1,2
Chester,033 W BRADFORD 5,STATE TREASURER, ,DEM,JOE TORSELLA,267,216,51
Chester,033 W BRADFORD 5,STATE TREASURER, ,DEM,Write-In Totals,3,1,2
Chester,033 W BRADFORD 5,U.S. House,6,DEM,CHRISSY HOULAHAN,286,230,56
Chester,033 W BRADFORD 5,U.S. House,6,DEM,Write-In Totals,1,0,1
Chester,033 W BRADFORD 5,State House,158,DEM,CHRISTINA SAPPEY,286,228,58
Chester,033 W BRADFORD 5,State House,158,DEM,Write-In Totals,2,0,2
Chester,033 W BRADFORD 5,President, ,REP,DONALD J TRUMP,194,60,134
Chester,033 W BRADFORD 5,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,4,3
Chester,033 W BRADFORD 5,President, ,REP,BILL WELD,18,7,11
Chester,033 W BRADFORD 5,President, ,REP,Write-In Totals,4,4,0
Chester,033 W BRADFORD 5,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,211,69,142
Chester,033 W BRADFORD 5,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,210,69,141
Chester,033 W BRADFORD 5,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,033 W BRADFORD 5,STATE TREASURER, ,REP,STACY L GARRITY,210,69,141
Chester,033 W BRADFORD 5,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,033 W BRADFORD 5,U.S. House,6,REP,JOHN EMMONS,210,68,142
Chester,033 W BRADFORD 5,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,033 W BRADFORD 5,State House,158,REP,ERIC ROE,217,68,149
Chester,033 W BRADFORD 5,State House,158,REP,Write-In Totals,1,1,0
Chester,035 E BRANDYWINE N-1,Registered Voters, ,,Registered Voters - Total,"1,254",,
Chester,035 E BRANDYWINE N-1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,470,,
Chester,035 E BRANDYWINE N-1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,577,,
Chester,035 E BRANDYWINE N-1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,207,,
Chester,035 E BRANDYWINE N-1,Ballots Cast, , , ,445,289,156
Chester,035 E BRANDYWINE N-1,Ballots Cast, ,DEM, ,279,214,65
Chester,035 E BRANDYWINE N-1,Ballots Cast, ,REP, ,166,75,91
Chester,035 E BRANDYWINE N-1,Ballots Cast, ,NPA, ,0,0,0
Chester,035 E BRANDYWINE N-1,President, ,DEM,BERNIE SANDERS,59,43,16
Chester,035 E BRANDYWINE N-1,President, ,DEM,JOSEPH R BIDEN,215,168,47
Chester,035 E BRANDYWINE N-1,President, ,DEM,TULSI GABBARD,0,0,0
Chester,035 E BRANDYWINE N-1,President, ,DEM,Write-In Totals,2,1,1
Chester,035 E BRANDYWINE N-1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,258,200,58
Chester,035 E BRANDYWINE N-1,ATTORNEY GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,4,2,2
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,19,15,4
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,20,17,3
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,13,10,3
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,NINA AHMAD,94,71,23
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,98,76,22
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,035 E BRANDYWINE N-1,STATE TREASURER, ,DEM,JOE TORSELLA,255,197,58
Chester,035 E BRANDYWINE N-1,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,035 E BRANDYWINE N-1,U.S. House,6,DEM,CHRISSY HOULAHAN,267,204,63
Chester,035 E BRANDYWINE N-1,U.S. House,6,DEM,Write-In Totals,1,0,1
Chester,035 E BRANDYWINE N-1,State House,155,DEM,DANIELLE FRIEL OTTEN,199,158,41
Chester,035 E BRANDYWINE N-1,State House,155,DEM,ROSE DANESE,69,47,22
Chester,035 E BRANDYWINE N-1,State House,155,DEM,Write-In Totals,0,0,0
Chester,035 E BRANDYWINE N-1,President, ,REP,DONALD J TRUMP,135,53,82
Chester,035 E BRANDYWINE N-1,President, ,REP,ROQUE ROCKY DE LA FUENTE,6,4,2
Chester,035 E BRANDYWINE N-1,President, ,REP,BILL WELD,15,10,5
Chester,035 E BRANDYWINE N-1,President, ,REP,Write-In Totals,8,6,2
Chester,035 E BRANDYWINE N-1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,147,67,80
Chester,035 E BRANDYWINE N-1,ATTORNEY GENERAL, ,REP,Write-In Totals,2,2,0
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,149,68,81
Chester,035 E BRANDYWINE N-1,AUDITOR GENERAL, ,REP,Write-In Totals,2,2,0
Chester,035 E BRANDYWINE N-1,STATE TREASURER, ,REP,STACY L GARRITY,147,68,79
Chester,035 E BRANDYWINE N-1,STATE TREASURER, ,REP,Write-In Totals,3,2,1
Chester,035 E BRANDYWINE N-1,U.S. House,6,REP,JOHN EMMONS,152,69,83
Chester,035 E BRANDYWINE N-1,U.S. House,6,REP,Write-In Totals,4,3,1
Chester,035 E BRANDYWINE N-1,State House,155,REP,MICHAEL THOMAS TAYLOR,151,70,81
Chester,035 E BRANDYWINE N-1,State House,155,REP,Write-In Totals,1,1,0
Chester,036 E BRANDYWINE N-2,Registered Voters, ,,Registered Voters - Total,"2,225",,
Chester,036 E BRANDYWINE N-2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,803,,
Chester,036 E BRANDYWINE N-2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,006",,
Chester,036 E BRANDYWINE N-2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,416,,
Chester,036 E BRANDYWINE N-2,Ballots Cast, , , ,728,472,256
Chester,036 E BRANDYWINE N-2,Ballots Cast, ,DEM, ,430,323,107
Chester,036 E BRANDYWINE N-2,Ballots Cast, ,REP, ,298,149,149
Chester,036 E BRANDYWINE N-2,Ballots Cast, ,NPA, ,0,0,0
Chester,036 E BRANDYWINE N-2,President, ,DEM,BERNIE SANDERS,72,54,18
Chester,036 E BRANDYWINE N-2,President, ,DEM,JOSEPH R BIDEN,342,259,83
Chester,036 E BRANDYWINE N-2,President, ,DEM,TULSI GABBARD,6,3,3
Chester,036 E BRANDYWINE N-2,President, ,DEM,Write-In Totals,7,6,1
Chester,036 E BRANDYWINE N-2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,390,296,94
Chester,036 E BRANDYWINE N-2,ATTORNEY GENERAL, ,DEM,Write-In Totals,3,2,1
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,13,10,3
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,30,24,6
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,30,22,8
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,14,10,4
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,NINA AHMAD,146,104,42
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,152,124,28
Chester,036 E BRANDYWINE N-2,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,036 E BRANDYWINE N-2,STATE TREASURER, ,DEM,JOE TORSELLA,382,292,90
Chester,036 E BRANDYWINE N-2,STATE TREASURER, ,DEM,Write-In Totals,2,1,1
Chester,036 E BRANDYWINE N-2,U.S. House,6,DEM,CHRISSY HOULAHAN,402,303,99
Chester,036 E BRANDYWINE N-2,U.S. House,6,DEM,Write-In Totals,4,3,1
Chester,036 E BRANDYWINE N-2,State House,155,DEM,DANIELLE FRIEL OTTEN,296,232,64
Chester,036 E BRANDYWINE N-2,State House,155,DEM,ROSE DANESE,100,68,32
Chester,036 E BRANDYWINE N-2,State House,155,DEM,Write-In Totals,0,0,0
Chester,036 E BRANDYWINE N-2,President, ,REP,DONALD J TRUMP,234,106,128
Chester,036 E BRANDYWINE N-2,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,2,5
Chester,036 E BRANDYWINE N-2,President, ,REP,BILL WELD,34,26,8
Chester,036 E BRANDYWINE N-2,President, ,REP,Write-In Totals,12,7,5
Chester,036 E BRANDYWINE N-2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,270,135,135
Chester,036 E BRANDYWINE N-2,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
